Model A,Model B,Metric,T-stat,p-value,Cohen's d,Significant,Sample Size
U2Net,U2NetP,dice,0.3858572674074566,0.6997668285246144,0.017256061590707736,False,500
U2Net,U2NetP,iou,0.23259513197256687,0.8161711753878733,0.010401970526523883,False,500
U2Net,SAMNet,dice,-4.74544548344438,2.7209273009736555e-06,-0.2122227736900197,False,500
U2Net,SAMNet,iou,-4.330194551991587,1.8014176383833118e-05,-0.19365218748104868,False,500
U2Net,AIM,dice,2.2262158149713485,0.026445503686106625,0.09955939789722057,False,500
U2Net,AIM,iou,3.1753558574047225,0.001589052945614024,0.14200623099818174,False,500
U2NetP,SAMNet,dice,-5.172267275345668,3.3547758406325696e-07,-0.23131082450941068,False,500
U2NetP,SAMNet,iou,-4.661865027253269,4.027330755732687e-06,-0.20848494205734436,False,500
U2NetP,AIM,dice,1.64086391086579,0.10145578969798165,0.07338166493044125,False,500
U2NetP,AIM,iou,2.7335969758449683,0.006487188604715575,0.12225017322154398,False,500
SAMNet,AIM,dice,7.749511710568394,5.204638370527572e-14,0.3465686995452322,False,500
SAMNet,AIM,iou,8.264216626514092,1.2781273302290803e-15,0.36958700315338994,False,500
